Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
DWayne Eskridge,WR,SEA/9,-4.36,1.01,92.0,8,28|10,280.6,0.0,0.0,
Josh Reynolds,WR,TEN/13,-4.38,0.98,93.0,8,23|04,224.8,-4.1,0.0,
Tim Patrick,WR,DEN/11,-4.44,1.26,94.0,9,25|01,241.2,-5.1,0.0,
Demarcus Robinson,WR,KC/12,-4.45,1.46,95.0,9,30|08,298.1,0.0,0.0,
KJ Hamler,WR,DEN/11,-4.47,0.91,96.0,9,24|09,239.4,-2.3,0.0,
Kadarius Toney,WR,NYG/10,-4.5,1.53,97.0,9,25|04,244.4,5.5,0.0,
Bryan Edwards,WR,LV/8,-4.59,1.66,98.0,9,23|05,225.2,-4.2,0.0,
Nico Collins,WR,HOU/10,-4.64,1.03,99.0,9,29|05,285.3,7.4,0.0,
James Washington,WR,PIT/7,-4.65,0.98,100.0,9,25|02,242.3,-8.3,0.0,
Chris Conley,WR,HOU/10,-4.66,1.38,101.0,9,31|10,310.9,7.2,0.0,
Amari Rodgers,WR,GB/13,-4.7,1.2,102.0,9,26|09,259.1,2.1,0.0,
Marquez Callaway,WR,NO/6,-4.81,1.4,103.0,9,31|03,303.9,0.0,0.0,
Quintez Cephus,WR,DET/9,-4.86,1.34,104.0,9,29|04,284.1,0.0,0.0,
Olamide Zaccheaus,WR,ATL/6,-4.87,1.33,105.0,9,28|07,277.7,0.0,0.0,
Byron Pringle,WR,KC/12,-4.93,1.43,106.0,9,29|04,284.9,0.0,0.0,
Jalen Guyton,WR,LAC/7,-4.94,0.86,107.0,9,31|01,301.3,1.3,0.0,
Preston Williams,WR,MIA/14,-4.98,1.93,109.0,9,25|08,248.5,-2.2,0.0,
Travis Fulgham,WR,PHI/14,-5.06,1.28,110.0,9,30|07,297.3,1.3,0.0,
Keke Coutee,WR,HOU/10,-5.11,1.45,111.0,9,28|10,280.4,1.3,0.0,
Dyami Brown,WR,WAS/9,-5.16,1.65,112.0,9,29|03,283.6,-0.3,0.0,
Tyron Johnson,WR,LAC/7,-5.32,1.2,114.0,9,28|07,277.0,0.0,0.0,
Adam Humphries,WR,WAS/9,-5.33,1.26,115.0,9,34|09,339.7,0.0,0.0,
Greg Ward,WR,PHI/14,-5.33,1.2,116.0,9,33|06,326.7,0.0,0.0,
Devin Funchess,WR,GB/13,-5.41,1.19,117.0,9,29|05,285.0,14.5,0.0,
Scott Miller,WR,TB/9,-5.46,1.12,118.0,9,,,,0.0,
Jakeem Grant,WR,MIA/14,-5.48,1.43,119.0,9,,,,0.0,
Josh Palmer,WR,LAC/7,-5.52,1.07,120.0,9,32|06,316.3,0.0,0.0,
Donovan Peoples-Jones,WR,CLE/13,-5.56,1.18,121.0,9,31|02,302.1,0.0,0.0,
Tutu Atwell,WR,LAR/11,-5.61,1.28,122.0,9,34|01,331.0,3.9,0.0,
Antonio Gandy-Golden,WR,WAS/9,-5.66,0.67,123.0,9,34|04,334.0,6.1,0.0,
Deonte Harris,WR,NO/6,-5.68,1.2,124.0,9,32|09,319.0,11.2,0.0,
Willie Snead,WR,LV/8,-5.8,1.26,125.0,10,35|08,348.6,0.0,0.0,
Dez Fitzpatrick,WR,TEN/13,-5.96,0.81,126.0,10,31|04,304.6,0.0,0.0,
Richie James,WR,SF/6,-5.97,1.17,127.0,10,36|01,351.3,0.0,0.0,
NKeal Harry,WR,NE/14,-5.99,1.38,128.0,10,28|07,277.3,-5.3,0.0,
Tajae Sharpe,WR,ATL/6,-6.04,0.77,129.0,10,,,,0.0,
Isaiah McKenzie,WR,BUF/7,-6.04,1.11,130.0,10,33|10,330.3,0.0,0.0,
Collin Johnson,WR,JAX/7,-6.04,1.06,131.0,10,35|08,348.4,0.0,0.0,
Jalen Hurd,WR,SF/6,-6.06,0.79,132.0,10,33|01,321.3,0.0,0.0,
Phillip Dorsett,WR,JAX/7,-6.12,1.52,133.0,10,,,,0.0,
Auden Tate,WR,CIN/10,-6.15,0.99,134.0,10,33|06,326.7,0.0,0.0,
Freddie Swain,WR,SEA/9,-6.24,0.86,135.0,10,37|06,366.0,0.0,0.0,
Chad Beebe,WR,MIN/7,-6.29,0.7,136.0,10,36|06,356.7,0.0,0.0,
Juwan Johnson,WR,NO/6,-6.31,0.46,137.0,10,,,,0.0,
Khadarel Hodge,WR,CLE/13,-6.32,0.3,138.0,10,,,,0.0,
Mohamed Sanu,WR,SF/6,-6.33,1.35,139.0,10,33|04,324.7,0.0,0.0,
Marquise Goodwin,WR,CHI/10,-6.36,1.1,140.0,10,,,,0.0,
Olabisi Johnson,WR,MIN/7,-6.38,1.3,141.0,10,37|04,364.6,0.0,0.0,
Andy Isabella,WR,ARI/12,-6.43,0.75,142.0,10,31|07,307.5,0.0,0.0,
Devin Duvernay,WR,BAL/8,-6.44,1.02,143.0,10,35|01,341.8,0.0,0.0,
Frank Darby,WR,ATL/6,-6.47,1.27,144.0,10,34|04,334.7,0.0,0.0,
Cedrick Wilson,WR,DAL/7,-6.47,0.93,145.0,10,38|02,372.7,0.0,0.0,
Quez Watkins,WR,PHI/14,-6.57,0.95,146.0,10,38|08,378.3,0.0,0.0,
Mike Thomas,WR,CIN/10,-6.65,0.8,147.0,10,,,,0.0,
Christian Blake,WR,ATL/6,-6.68,1.32,148.0,10,,,,0.0,
Kalif Raymond,WR,DET/9,-6.72,1.33,149.0,10,,,,0.0,
Ray-Ray McCloud,WR,PIT/7,-6.73,1.1,150.0,10,,,,0.0,
LilJordan Humphrey,WR,NO/6,-6.89,1.18,151.0,10,,,,0.0,
Dazz Newsome,WR,CHI/10,-6.91,1.24,152.0,10,33|04,324.4,0.0,0.0,
Marquez Stevenson,WR,BUF/7,-6.93,1.18,153.0,10,38|01,371.0,0.0,0.0,
KeeSean Johnson,WR,ARI/12,-7.06,1.12,154.0,10,,,,0.0,
